dataset,model,attack,attack_auc,tpr_at_fpr_01,tpr_at_fpr_0,tnr_at_fnr_01,tnr_at_fnr_0
46980_MIC,tabpfn,rmia,0.6660139904226284,0.0,0.0,0.0615883306320907,0.0615883306320907
46980_MIC,tabpfn,rmia_online,0.70354,0.048946515397082654,0.048946515397082654,0.06158833063209075,0.06158833063209075
credit_rating,lightgbm,lira,0.7436,0.0,0.0,0.0,0.0
credit_rating,lightgbm,lira_online,0.95814,0.13210526315789473,0.13210526315789473,0.6512483574244415,0.6512483574244415
credit_rating,lightgbm,rmia,0.9280524240957188,0.0,0.0,0.7369250985545335,0.7369250985545335
credit_rating,lightgbm,rmia_online,0.9295,0.1789473684210526,0.1789473684210526,0.7505913272010513,0.7505913272010513
credit_rating,mlp,lira,0.51312,0.0,0.0,0.0,0.0
credit_rating,mlp,lira_online,0.49528,0.0010526315789473684,0.0010526315789473684,0.001576872536136653,0.001576872536136653
credit_rating,mlp,rmia,0.5109819143785876,0.001578947368421,0.001578947368421,0.0031537450722733,0.0031537450722733
credit_rating,mlp,rmia_online,0.52848,0.0007894736842105263,0.0007894736842105263,0.0013140604467805517,0.0013140604467805517
credit_rating,real-tabpfn,lira,0.72778,0.0,0.0,0.0,0.0
credit_rating,real-tabpfn,lira_online,0.9085000000000001,0.011578947368421053,0.011578947368421053,0.06570302233902758,0.06570302233902758
credit_rating,real-tabpfn,rmia,0.9296579984784564,0.001578947368421,0.001578947368421,0.1779237844940867,0.1779237844940867
credit_rating,real-tabpfn,rmia_online,0.9572799999999999,0.11078947368421052,0.11078947368421052,0.3576872536136662,0.3576872536136662
credit_rating,rf,lira,0.74744,0.0,0.0,0.0,0.0
credit_rating,rf,lira_online,0.9811399999999999,0.06552631578947368,0.06552631578947368,0.631011826544021,0.631011826544021
credit_rating,rf,rmia,0.9788882357009476,0.0413157894736842,0.0413157894736842,0.6078843626806834,0.6078843626806834
credit_rating,rf,rmia_online,0.99278,0.38473684210526315,0.38473684210526315,0.7637319316688568,0.7637319316688568
credit_rating,tabdpt,lira,0.7473,0.0,0.0,0.2951379763469119,0.2951379763469119
credit_rating,tabdpt,lira_online,0.98946,0.13026315789473683,0.13026315789473683,0.8749014454664914,0.8749014454664914
credit_rating,tabdpt,rmia,0.9795826129054568,0.0847368421052631,0.0847368421052631,0.8890932982917213,0.8890932982917213
credit_rating,tabdpt,rmia_online,0.9796400000000001,0.1863157894736842,0.1863157894736842,0.8951379763469121,0.8951379763469121
credit_rating,tabicl,lira,0.74614,0.0,0.0,0.19789750328515113,0.19789750328515113
credit_rating,tabicl,lira_online,0.99024,0.09157894736842105,0.09157894736842105,0.6877792378449409,0.6877792378449409
credit_rating,tabicl,rmia,0.9826991838993016,0.0542105263157894,0.0542105263157894,0.8777923784494085,0.8777923784494085
credit_rating,tabicl,rmia_online,0.98302,0.14473684210526316,0.14473684210526316,0.8896189224704336,0.8896189224704336
credit_rating,tabnet,lira,0.53918,0.0,0.0,0.0,0.0
credit_rating,tabnet,lira_online,0.52138,0.002631578947368421,0.002631578947368421,0.00341655716162943,0.00341655716162943
credit_rating,tabnet,rmia,0.5550157341448234,0.0005263157894736,0.0005263157894736,0.0063074901445466,0.0063074901445466
credit_rating,tabnet,rmia_online,0.5736399999999999,0.0002631578947368421,0.0002631578947368421,0.0026281208935611034,0.0026281208935611034
credit_rating,tabpfn,lira,0.72514,0.0,0.0,0.0,0.0
credit_rating,tabpfn,lira_online,0.91138,0.011842105263157895,0.011842105263157895,0.07700394218134035,0.07700394218134035
credit_rating,tabpfn,rmia,0.9289475413237428,0.001578947368421,0.001578947368421,0.1448094612352168,0.1448094612352168
credit_rating,tabpfn,rmia_online,0.95794,0.11499999999999999,0.11499999999999999,0.3390275952693824,0.3390275952693824
dropout_success,lightgbm,lira,0.62736,0.0,0.0,0.0,0.0
dropout_success,lightgbm,lira_online,0.70198,0.026522001205545508,0.014225437010247139,0.057263411693791434,0.04605183845690175
dropout_success,lightgbm,rmia,0.7457310499908983,0.0062688366485834,0.0024110910186859,0.103676913803496,0.0795660036166365
dropout_success,lightgbm,rmia_online,0.7889,0.08065099457504521,0.06148282097649187,0.18529234478601567,0.16142254370102474
dropout_success,mlp,lira,0.54496,0.0,0.0,0.0,0.0
dropout_success,mlp,lira_online,0.54198,0.0013261000602772753,0.00048221820373719104,0.0057866184448462695,0.0031344183242917323
dropout_success,mlp,rmia,0.5884965960961107,0.0001205545509342,0.0001205545509342,0.0168776371308017,0.0125376732971669
dropout_success,mlp,rmia_online,0.6031799999999999,0.0038577456298975283,0.002049427365883062,0.02374924653405668,0.017600964436407462
dropout_success,real-tabpfn,lira,0.63022,0.0,0.0,0.0,0.0
dropout_success,real-tabpfn,lira_online,0.66716,0.014587100663050028,0.010247136829415311,0.011693791440626877,0.004460518384569001
dropout_success,real-tabpfn,rmia,0.7097187750814689,0.0004822182037371,0.0004822182037371,0.0180831826401446,0.0113321277878239
dropout_success,real-tabpfn,rmia_online,0.77306,0.02820976491862568,0.024352019288728148,0.0658227848101266,0.05183845690174804
dropout_success,rf,lira,0.6853,0.0,0.0,0.0,0.0
dropout_success,rf,lira_online,0.80938,0.006148282097649186,0.003496081977094635,0.007594936708860756,0.002893309222423146
dropout_success,rf,rmia,0.8549696052110958,0.0738999397227245,0.0122965641952983,0.2033755274261603,0.1858951175406871
dropout_success,rf,rmia_online,0.8969400000000001,0.19590114526823388,0.1027124773960217,0.29957805907172996,0.27329716696805306
dropout_success,tabdpt,lira,0.75342,0.0,0.0,0.0,0.0
dropout_success,tabdpt,lira_online,0.98508,0.5918022905364678,0.5587703435804702,0.6284508740204943,0.42447257383966247
dropout_success,tabdpt,rmia,0.9749289407585928,0.0684749849306811,0.0467751657625075,0.2213381555153707,0.1399638336347197
dropout_success,tabdpt,rmia_online,0.9816,0.42423146473779383,0.4021699819168173,0.4378541289933695,0.20216998191681737
dropout_success,tabicl,lira,0.7184999999999999,0.0,0.0,0.0,0.0
dropout_success,tabicl,lira_online,0.87342,0.11669680530440026,0.0594333936106088,0.11440626883664859,0.07836045810729356
dropout_success,tabicl,rmia,0.8672009144415125,0.0466546112115732,0.013381555153707,0.0266425557564798,0.0151898734177215
dropout_success,tabicl,rmia_online,0.9255599999999999,0.21832429174201326,0.17034358047016274,0.21940928270042193,0.19843279083785412
dropout_success,tabnet,lira,0.5769,0.0,0.0,0.0,0.0
dropout_success,tabnet,lira_online,0.57756,0.0027727546714888486,0.00216998191681736,0.013622664255575656,0.0069921639541892676
dropout_success,tabnet,rmia,0.6359517796329663,0.0026522001205545,0.0003616636528028,0.0635322483423749,0.0497890295358649
dropout_success,tabnet,rmia_online,0.64412,0.005183845690174804,0.0024110910186859553,0.07546714888487038,0.05364677516576251
dropout_success,tabpfn,lira,0.63254,0.0,0.0,0.0,0.0
dropout_success,tabpfn,lira_online,0.6717000000000001,0.01241711874623267,0.008921036769138035,0.011452682338758291,0.0044605183845690234
dropout_success,tabpfn,rmia,0.7158132836000394,0.007715491259795,0.0004822182037371,0.0168776371308016,0.0110910186859554
dropout_success,tabpfn,rmia_online,0.78024,0.030018083182640144,0.022905364677516575,0.06799276672694395,0.05328511151295963
locations,lightgbm,lira,0.71286,0.0,0.0,0.0,0.0
locations,lightgbm,lira_online,0.9257200000000001,0.22683307332293295,0.22683307332293295,0.5090342679127726,0.5090342679127726
locations,lightgbm,rmia,0.8537657767992963,0.0290171606864274,0.0290171606864274,0.5651090342679128,0.5651090342679128
locations,lightgbm,rmia_online,0.85516,0.0845553822152886,0.0845553822152886,0.5778816199376948,0.5778816199376948
locations,mlp,lira,0.69804,0.0,0.0,0.0,0.0
locations,mlp,lira_online,0.92222,0.1385335413416537,0.1385335413416537,0.6426791277258567,0.6426791277258567
locations,mlp,rmia,0.8196733102968979,0.0065522620904836,0.0065522620904836,0.5741433021806854,0.5741433021806854
locations,mlp,rmia_online,0.82014,0.028081123244929795,0.028081123244929795,0.5725856697819315,0.5725856697819315
locations,real-tabpfn,lira,0.6967800000000001,0.0,0.0,0.0,0.0
locations,real-tabpfn,lira_online,0.8215199999999999,0.06833073322932917,0.06833073322932917,0.1277258566978193,0.1277258566978193
locations,real-tabpfn,rmia,0.8175740300640063,0.0184087363494539,0.0184087363494539,0.0937694704049844,0.0937694704049844
locations,real-tabpfn,rmia_online,0.85906,0.07581903276131045,0.07581903276131045,0.1922118380062305,0.1922118380062305
locations,rf,lira,0.73906,0.0,0.0,0.10093457943925235,0.10093457943925235
locations,rf,lira_online,0.9652000000000001,0.39126365054602186,0.39126365054602186,0.38317757009345793,0.38317757009345793
locations,rf,rmia,0.9682274580702854,0.1794071762870514,0.1794071762870514,0.6355140186915887,0.6355140186915887
locations,rf,rmia_online,0.9857799999999999,0.6343213728549142,0.6343213728549142,0.7143302180685358,0.7143302180685358
locations,tabdpt,lira,0.73144,0.0,0.0,0.0,0.0
locations,tabdpt,lira_online,0.9430999999999999,0.12511700468018722,0.12511700468018722,0.7373831775700934,0.7373831775700934
locations,tabdpt,rmia,0.9015083033227872,0.0146645865834633,0.0146645865834633,0.670404984423676,0.670404984423676
