dataset,model,seed,context_pct,attack,auc,source
locations,real-tabpfn,1,90.0,AMIA row_max,0.9467964641109666,ml_privacy_meter/logs/locations/real-tabpfn/seed1/amia_ctx90/report/exp/attention_summary.csv
locations,real-tabpfn,2,90.0,AMIA row_max,0.9368273716017529,ml_privacy_meter/logs/locations/real-tabpfn/seed2/amia_ctx90/report/exp/attention_summary.csv
locations,real-tabpfn,3,90.0,AMIA row_max,0.945438817285367,ml_privacy_meter/logs/locations/real-tabpfn/seed3/amia_ctx90/report/exp/attention_summary.csv
locations,real-tabpfn,4,90.0,AMIA row_max,0.9503888216406501,ml_privacy_meter/logs/locations/real-tabpfn/seed4/amia_ctx90/report/exp/attention_summary.csv
locations,real-tabpfn,5,90.0,AMIA row_max,0.917733210384196,ml_privacy_meter/logs/locations/real-tabpfn/seed5/amia_ctx90/report/exp/attention_summary.csv
locations,real-tabpfn,1,100.0,AMIA row_max,0.9472494787641973,ml_privacy_meter/logs/locations/real-tabpfn/seed1/amia/report/exp/attention_summary.csv
locations,real-tabpfn,2,100.0,AMIA row_max,0.9312576241367411,ml_privacy_meter/logs/locations/real-tabpfn/seed2/amia/report/exp/attention_summary.csv
locations,real-tabpfn,3,100.0,AMIA row_max,0.9494194721059871,ml_privacy_meter/logs/locations/real-tabpfn/seed3/amia/report/exp/attention_summary.csv
locations,real-tabpfn,4,100.0,AMIA row_max,0.9382876249629425,ml_privacy_meter/logs/locations/real-tabpfn/seed4/amia/report/exp/attention_summary.csv
locations,real-tabpfn,5,100.0,AMIA row_max,0.9168525619529454,ml_privacy_meter/logs/locations/real-tabpfn/seed5/amia/report/exp/attention_summary.csv
locations,real-tabpfn,1,5.0,RMIA,0.93505859375,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx5/report/exp/attack_result_0.npz
locations,real-tabpfn,2,5.0,RMIA,0.95263671875,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx5/report/exp/attack_result_0.npz
locations,real-tabpfn,3,5.0,RMIA,0.91845703125,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx5/report/exp/attack_result_0.npz
locations,real-tabpfn,4,5.0,RMIA,0.96044921875,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx5/report/exp/attack_result_0.npz
locations,real-tabpfn,5,5.0,RMIA,0.8837890625,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx5/report/exp/attack_result_0.npz
locations,real-tabpfn,1,10.0,RMIA,0.974853515625,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx10/report/exp/attack_result_0.npz
locations,real-tabpfn,2,10.0,RMIA,0.9385986328125,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx10/report/exp/attack_result_0.npz
locations,real-tabpfn,3,10.0,RMIA,0.963623046875,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx10/report/exp/attack_result_0.npz
locations,real-tabpfn,4,10.0,RMIA,0.9473876953125,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx10/report/exp/attack_result_0.npz
locations,real-tabpfn,5,10.0,RMIA,0.966552734375,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx10/report/exp/attack_result_0.npz
locations,real-tabpfn,1,20.0,RMIA,0.947662353515625,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx20/report/exp/attack_result_0.npz
locations,real-tabpfn,2,20.0,RMIA,0.969879150390625,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx20/report/exp/attack_result_0.npz
locations,real-tabpfn,3,20.0,RMIA,0.957672119140625,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx20/report/exp/attack_result_0.npz
locations,real-tabpfn,4,20.0,RMIA,0.952117919921875,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx20/report/exp/attack_result_0.npz
locations,real-tabpfn,5,20.0,RMIA,0.941802978515625,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx20/report/exp/attack_result_0.npz
locations,real-tabpfn,1,30.0,RMIA,0.9427897135416667,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx30/report/exp/attack_result_0.npz
locations,real-tabpfn,2,30.0,RMIA,0.9627685546875,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx30/report/exp/attack_result_0.npz
locations,real-tabpfn,3,30.0,RMIA,0.916476779513889,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx30/report/exp/attack_result_0.npz
locations,real-tabpfn,4,30.0,RMIA,0.9395209418402778,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx30/report/exp/attack_result_0.npz
locations,real-tabpfn,5,30.0,RMIA,0.9516465928819444,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx30/report/exp/attack_result_0.npz
locations,real-tabpfn,1,40.0,RMIA,0.9086287086575875,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx40/report/exp/attack_result_0.npz
locations,real-tabpfn,2,40.0,RMIA,0.8734420598249026,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx40/report/exp/attack_result_0.npz
locations,real-tabpfn,3,40.0,RMIA,0.8777662937743189,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx40/report/exp/attack_result_0.npz
locations,real-tabpfn,4,40.0,RMIA,0.8677650778210116,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx40/report/exp/attack_result_0.npz
locations,real-tabpfn,5,40.0,RMIA,0.9042284776264591,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx40/report/exp/attack_result_0.npz
locations,real-tabpfn,1,50.0,RMIA,0.8490167445482866,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx50/report/exp/attack_result_0.npz
locations,real-tabpfn,2,50.0,RMIA,0.8933605919003116,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx50/report/exp/attack_result_0.npz
locations,real-tabpfn,3,50.0,RMIA,0.8906882788161994,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx50/report/exp/attack_result_0.npz
locations,real-tabpfn,4,50.0,RMIA,0.8488415109034269,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx50/report/exp/attack_result_0.npz
locations,real-tabpfn,5,50.0,RMIA,0.8918370327102804,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx50/report/exp/attack_result_0.npz
locations,real-tabpfn,1,60.0,RMIA,0.8837797619047619,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx60/report/exp/attack_result_0.npz
locations,real-tabpfn,2,60.0,RMIA,0.8584009740259739,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx60/report/exp/attack_result_0.npz
locations,real-tabpfn,3,60.0,RMIA,0.8702955898268399,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx60/report/exp/attack_result_0.npz
locations,real-tabpfn,4,60.0,RMIA,0.801471185064935,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx60/report/exp/attack_result_0.npz
locations,real-tabpfn,5,60.0,RMIA,0.8695718344155843,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx60/report/exp/attack_result_0.npz
locations,real-tabpfn,1,70.0,RMIA,0.858525007316432,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx70/report/exp/attack_result_0.npz
locations,real-tabpfn,2,70.0,RMIA,0.8494327905119519,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx70/report/exp/attack_result_0.npz
locations,real-tabpfn,3,70.0,RMIA,0.8495443971012049,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx70/report/exp/attack_result_0.npz
